Input,Reading_level,Output
I'm so hype for the concert tonight.,Very Simple,I am very happy for the music show tonight.
I'm so hype for the concert tonight.,Moderate,I'm really excited for the concert tonight.
I'm so hype for the concert tonight.,Light,I'm really excited for the concert tonight.
Thanks a lot for your help.,Very Simple,Thank you for helping me.
Thanks a lot for your help.,Moderate,Thank you for your help.
Thanks a lot for your help.,Light,Thanks a lot for your help.
Yes. I would do anything to date Silva. No cap.,Very Simple,Yes. I really want to be with Silva.
Yes. I would do anything to date Silva. No cap.,Moderate,Yes. I would do anything to date Silva. No lie.
Yes. I would do anything to date Silva. No cap.,Light,Yes. I would do anything to date Silva. No cap.
Goofy ahh energy-log off.,Very Simple,This is silly. Please stop.
Goofy ahh energy-log off.,Moderate,Your absurd behavior suggests you should take a break from the internet.
Goofy ahh energy-log off.,Light,Goofy ahh energy-log off.
Sorry the delays caused trouble,Very Simple,Sorry the delay caused trouble
Sorry the delays caused trouble,Moderate,I’m sorry for the delay and any inconvenience caused
Sorry the delays caused trouble,Light,Sorry the delays caused trouble
Ensure that all safety rules are followed.,Very Simple,Let’s follow all the safety rules.
Ensure that all safety rules are followed.,Moderate,Make sure we follow all the safety rules properly.
Ensure that all safety rules are followed.,Light,Ensure that all safety rules are followed.
She ghosted me,Very Simple,She stopped talking to me.
She ghosted me,Moderate,She stopped replying to my messages.
She ghosted me,Light,She ghosted me
I'm totally wiped after a long day grind.,Very Simple,I am very tired today.
I'm totally wiped after a long day grind.,Moderate,"I’m really tired after a long, hard day."
I'm totally wiped after a long day grind.,Light,I'm totally wiped after a long day grind.
Thanks for being thorough,Very Simple,Thank you for doing it carefully.
Thanks for being thorough,Moderate,Thanks for doing everything carefully.
Thanks for being thorough,Light,Thanks for being thorough
My room is 99% clothes and I still have nothing to wear.,Very Simple,"I have lots of clothes, but I don’t know what to wear."
My room is 99% clothes and I still have nothing to wear.,Moderate,"I have so many clothes, but I still can’t decide what to wear."
My room is 99% clothes and I still have nothing to wear.,Light,My room is 99% clothes and I still have nothing to wear.
Hit me up when you can ,Very Simple,Please tell me.
Hit me up when you can ,Moderate,Contact me when you can.
Hit me up when you can ,Light,Hit me up when you can 
Keep our standards,Very Simple,Follow the rules.
Keep our standards,Moderate,Keep our standards
Keep our standards,Light,Keep our standards
"I'm so drained today, barely slept tbh.",Very Simple,I am very tired.
"I'm so drained today, barely slept tbh.",Moderate,"I'm very tired today, barely slept."
"I'm so drained today, barely slept tbh.",Light,"I'm so drained today, barely slept tbh."
I'm drained today and just wanna stay in bed all day lol,Very Simple,I am very tired.
I'm drained today and just wanna stay in bed all day lol,Moderate,I'm very tired today and just want to stay in bed all day
I'm drained today and just wanna stay in bed all day lol,Light,I'm drained today and just wanna stay in bed all day lol
Sorry for the delay,Very Simple,I am sorry
Sorry for the delay,Moderate,Sorry for the delay
Sorry for the delay,Light,Sorry for the delay
"Yo, I'm just finna hit up some coffee before I slide to school.",Very Simple,I want food or a drink.
"Yo, I'm just finna hit up some coffee before I slide to school.",Moderate,I'm just going to get coffee before I go to school.
"Yo, I'm just finna hit up some coffee before I slide to school.",Light,"Yo, I'm just finna hit up some coffee before I slide to school."
Can you give feedback on the changes,Very Simple,Please look at this.
Can you give feedback on the changes,Moderate,Can you give feedback on the changes
Can you give feedback on the changes,Light,Can you give feedback on the changes
The old house stood silently at the end of the narrow road.,Very Simple,The old house was quiet.
The old house stood silently at the end of the narrow road.,Moderate,The old house was quiet at the end of the small road.
The old house stood silently at the end of the narrow road.,Light,The old house stood silently at the end of the narrow road.
She could not ignore the strange feeling that someone was watching her.,Very Simple,She felt scared.
She could not ignore the strange feeling that someone was watching her.,Moderate,She felt like someone was watching her.
She could not ignore the strange feeling that someone was watching her.,Light,She could not ignore the strange feeling that someone was watching her.
